"rep","k","BIC"
22,2,185607.872
22,3,182378.2414
22,4,180816.3108
22,5,179849.9409
22,6,180421.3151
22,7,180980.0905
22,8,181540.3423
22,9,182091.6942
22,10,182651.1995
23,2,189180.681
23,3,185855.4864
23,4,184104.5411
23,5,183138.3111
23,6,183687.3189
23,7,184245.7316
23,8,184797.6935
23,9,185364.4114
23,10,185967.5862
24,2,188529.9552
24,3,185316.2566
24,4,183326.3544
24,5,182400.5543
24,6,182966.7865
24,7,183519.4627
24,8,184100.1757
24,9,184677.7464
24,10,185231.9052
25,2,185286.8777
25,3,181891.2338
25,4,179849.4193
25,5,179081.0081
25,6,179582.9569
25,7,180232.6923
25,8,180780.2443
25,9,181347.4469
25,10,181874.0282
26,2,189107.7531
26,3,185950.255
26,4,183961.9118
26,5,183039.1313
26,6,183592.8204
26,7,184158.6344
26,8,184880.8247
26,9,185301.2823
26,10,185886.757
27,2,186632.2505
27,3,183568.2109
27,4,181617.3981
27,5,180781.2897
27,6,181333.7191
27,7,181894.0081
27,8,182443.5531
27,9,182995.9619
27,10,183579.1872
28,2,189187.0322
28,3,185955.8343
28,4,184007.509
28,5,183046.5102
28,6,183613.7613
28,7,184171.5081
28,8,184749.2438
28,9,185394.1697
28,10,185968.6831
29,2,188250.9717
29,3,185060.0601
29,4,183402.8405
29,5,182464.3603
29,6,183018.503
29,7,183593.5369
29,8,184126.6649
29,9,184691.0085
29,10,185288.6342
30,2,187666.0282
30,3,184454.3099
30,4,182595.0781
30,5,181600.6797
30,6,182167.7102
30,7,182739.6489
30,8,183311.732
30,9,183831.5872
30,10,184444.2497
31,2,186564.1536
31,3,183499.9472
31,4,181775.4928
31,5,180962.6755
31,6,181515.6113
31,7,182085.5957
31,8,182676.6582
31,9,183207.8618
31,10,183792.1113
32,2,190060.6746
32,3,186636.323
32,4,184927.7761
32,5,184023.1975
32,6,184579.6621
32,7,185153.5917
32,8,185711.8856
32,9,186285.2215
32,10,186875.7078
33,2,187323.1514
33,3,184108.0618
33,4,182296.9396
33,5,181288.2504
33,6,181856.9362
33,7,182404.5756
33,8,182973.3103
33,9,183537.865
33,10,184093.8203
34,2,187747.4631
34,3,184444.595
34,4,182587.7727
34,5,181535.5275
34,6,182098.4253
34,7,182653.871
34,8,183224.1629
34,9,183776.2479
34,10,184343.6177
35,2,190811.6018
35,3,187543.3942
35,4,185536.6096
35,5,184617.1844
35,6,185198.3939
35,7,185761.456
35,8,186292.5828
35,9,186856.4936
35,10,187436.8732
36,2,187721.0093
36,3,184339.3981
36,4,182700.8538
36,5,181942.8847
36,6,182494.1009
36,7,183056.6229
36,8,183634.9068
36,9,184187.9621
36,10,184763.5144
37,2,184804.2563
37,3,181643.8287
37,4,179625.7202
37,5,178695.8084
37,6,179254.8093
37,7,179816.0275
37,8,180406.7998
37,9,180958.4576
37,10,181519.9267
38,2,189018.9927
38,3,185889.8804
38,4,183863.2239
38,5,183048.2094
38,6,183597.8368
38,7,184158.4795
38,8,184717.8941
38,9,185273.3613
38,10,185842.3142
39,2,186370.437
39,3,183422.6996
39,4,181709.3026
39,5,180989.2904
39,6,181468.8188
39,7,182036.3394
39,8,182675.701
39,9,183217.1136
39,10,183705.0601
40,2,186465.1435
40,3,183106.4684
40,4,181017.6969
40,5,180137.7919
40,6,180703.5156
40,7,181262.5278
40,8,181801.8052
40,9,182350.0886
40,10,182923.3927
41,2,186714.5285
41,3,182421.2097
41,4,180336.2404
41,5,179483.4764
41,6,180055.6631
41,7,180612.2603
41,8,181186.7493
41,9,181736.9082
41,10,182259.8582
42,2,184392.6098
42,3,181325.1816
42,4,179415.5799
42,5,178445.9129
42,6,179011.8982
42,7,179575.4596
42,8,180147.746
42,9,180708.4336
42,10,181285.8475
43,2,185764.5958
43,3,182673.133
43,4,180781.2245
43,5,179848.7968
43,6,181046.2409
43,7,180952.5438
43,8,181536.1338
43,9,182086.9982
43,10,182675.6025
44,2,189930.9496
44,3,186680.2561
44,4,184903.073
44,5,184063.1447
44,6,184617.5115
44,7,185159.2869
44,8,185723.8244
44,9,186286.4851
44,10,186846.9328
45,2,189004.0034
45,3,185589.571
45,4,183781.6035
45,5,182766.8521
45,6,183330.4797
45,7,183879.9836
45,8,184439.6877
45,9,185035.6787
45,10,185593.5426
46,2,188467.3851
46,3,185301.0242
46,4,183432.5707
46,5,182348.2278
46,6,182910.802
46,7,183467.1268
46,8,184050.766
46,9,184621.7301
46,10,185193.0756
47,2,192752.5014
47,3,189339.7035
47,4,187358.0456
47,5,186570.1085
47,6,187153.2264
47,7,187684.9984
47,8,188244.5826
47,9,188794.2237
47,10,189263.9492
48,2,189073.9906
48,3,185996.698
48,4,183950.5048
48,5,183031.0646
48,6,183613.5645
48,7,184146.8419
48,8,184749.5156
48,9,185261.5523
48,10,186257.355
49,2,185298.1456
49,3,182274.2856
49,4,180676.0589
49,5,179857.4622
49,6,180433.0396
49,7,180982.7743
49,8,181540.2905
49,9,182097.6208
49,10,182665.476
50,2,189379.0737
50,3,186047.9146
50,4,184395.7204
50,5,183515.4624
50,6,184065.7126
50,7,184635.7061
50,8,185205.8967
50,9,185745.9071
50,10,186301.1999
51,2,186035.8554
51,3,182998.1846
51,4,181068.41
51,5,180393.9437
51,6,180963.4151
51,7,181530.701
51,8,182087.2682
51,9,182644.6483
51,10,183231.3804
52,2,187781.7924
52,3,184607.2304
52,4,182923.6642
52,5,182179.0927
52,6,182752.2382
52,7,183303.7379
52,8,183872.8187
52,9,184392.1121
52,10,184973.724
53,2,189288.1535
53,3,185992.0545
53,4,184883.0356
53,5,183112.4923
53,6,183686.1322
53,7,184231.3371
53,8,184947.5123
53,9,185346.3515
53,10,185920.0518
54,2,187234.933
54,3,183879.7453
54,4,182133.867
54,5,181191.4542
54,6,181748.3069
54,7,182313.3901
54,8,182891.27
54,9,183453.6217
54,10,184324.8503
55,2,188219.9131
55,3,184594.057
55,4,182996.0065
55,5,182143.0713
55,6,182706.1142
55,7,183261.7903
55,8,183822.8869
55,9,184375.7282
55,10,184950.0728
56,2,188672.7168
56,3,185622.9599
56,4,183392.9873
56,5,182577.1271
56,6,183130.003
56,7,183695.824
56,8,184264.2546
56,9,184826.47
56,10,185374.4419
57,2,187660.1373
57,3,184583.4512
57,4,182587.5244
57,5,181894.1809
57,6,182451.8164
57,7,183019.7698
57,8,183602.1922
57,9,184183.8133
57,10,184752.3012
58,2,187541.3867
58,3,184239.93
58,4,182643.9081
58,5,181735.6252
58,6,182293.1683
58,7,182837.3626
58,8,183538.5531
58,9,183945.6267
58,10,184527.7102
59,2,189339.084
59,3,186084.4167
59,4,184255.6287
59,5,183395.8575
59,6,184324.0035
59,7,184499.9973
59,8,185072.9141
59,9,185611.2111
59,10,186172.0904
60,2,182679.5067
60,3,178905.2499
60,4,176975.879
60,5,176021.9202
60,6,176590.2878
60,7,177153.6994
60,8,177698.1901
60,9,178280.0616
60,10,178846.8206
61,2,186748.2101
61,3,184114.1002
61,4,182321.0154
61,5,181462.357
61,6,182014.0334
61,7,182575.2758
61,8,183155.9305
61,9,183709.1872
61,10,184262.9746
62,2,189629.0309
62,3,186299.9967
62,4,184526.5059
62,5,183666.215
62,6,184232.1391
62,7,184786.6719
62,8,185340.8392
62,9,185899.3175
62,10,186458.6094
63,2,185214.1827
63,3,182050.5696
63,4,180445.6437
63,5,179536.8968
63,6,180099.4973
63,7,180770.2061
63,8,181183.9347
63,9,181743.0735
63,10,182312.6377
64,2,185959.4829
64,3,182569.7136
64,4,180943.5202
64,5,179962.1769
64,6,180533.9701
64,7,181083.4437
64,8,181648.9548
64,9,182200.5772
64,10,182769.1853
65,2,186802.2596
65,3,183389.827
65,4,181621.5457
65,5,180816.1829
65,6,181373.6454
65,7,181929.313
65,8,182490.211
65,9,183045.4269
65,10,183734.1463
66,2,189811.8114
66,3,186133.6191
66,4,184368.0513
66,5,183340.4004
66,6,183905.7845
66,7,184462.0328
66,8,185025.4227
66,9,185574.1925
66,10,186134.7938
67,2,183977.2799
67,3,180845.9179
67,4,179315.5514
67,5,178614.4118
67,6,179076.3474
67,7,179644.5972
67,8,180197.374
67,9,180781.3552
67,10,181347.2301
68,2,186211.6588
68,3,183165.4096
68,4,181324.1847
68,5,180426.6358
68,6,181002.7609
68,7,181550.3271
68,8,182133.0071
68,9,182684.5047
68,10,183279.7043
69,2,185113.3906
69,3,182347.8692
69,4,180612.1421
69,5,179853.9257
69,6,180541.7519
69,7,180945.6517
69,8,181531.0223
69,9,182089.5261
69,10,182667.5097
70,2,185518.0617
70,3,182497.4549
70,4,180409.2125
70,5,179544.5032
70,6,180111.785
70,7,180668.2244
70,8,181230.9519
70,9,181776.1803
70,10,182317.353
71,2,182418.6518
71,3,179309.9166
71,4,177556.7461
71,5,176727.9771
71,6,177273.8201
71,7,177825.8808
71,8,178408.7228
71,9,178940.9592
71,10,179521.9463
72,2,187918.8503
72,3,184939.6284
72,4,183048.7473
72,5,182129.4733
72,6,182694.1068
72,7,183252.6031
72,8,183824.4069
72,9,184527.8966
72,10,184959.0845
73,2,189595.0835
73,3,186040.9157
73,4,184183.9087
73,5,183272.6804
73,6,183821.0359
73,7,184395.8886
73,8,184949.3691
73,9,185509.0179
73,10,186083.9786
74,2,185943.4777
74,3,182449.4543
74,4,180543.3903
74,5,179616.2117
74,6,180176.3539
74,7,180735.2173
74,8,181312.7562
74,9,181869.3532
74,10,182428.3708
75,2,188840.6335
75,3,185952.4664
75,4,183895.9761
75,5,182966.9019
75,6,183542.9188
75,7,184098.5796
75,8,184652.8935
75,9,185220.0802
75,10,185795.497
76,2,186459.3045
76,3,183053.6409
76,4,181249.6561
76,5,180258.3331
76,6,180818.9418
76,7,181381.7287
76,8,181916.3348
76,9,182574.4511
76,10,183050.6997
77,2,187973.4619
77,3,184743.1519
77,4,182936.4717
77,5,182185.4394
77,6,182748.0922
77,7,183281.954
77,8,183854.653
77,9,184419.6767
77,10,184962.5907
78,2,187252.1587
78,3,183872.0664
78,4,182245.7332
78,5,181402.8279
78,6,181970.9623
78,7,182528.4285
78,8,183089.2085
78,9,183651.0846
78,10,184216.6935
79,2,188900.5633
79,3,185455.0748
79,4,183295.9113
79,5,182382.3661
79,6,182923.6574
79,7,183483.7514
79,8,184030.7229
79,9,184575.5559
79,10,185640.6406
80,2,185731.7442
80,3,182885.1503
80,4,180870.7213
80,5,180102.8237
80,6,180655.5532
80,7,181232.5631
80,8,181815.1652
80,9,182380.1593
80,10,182919.0964
81,2,187030.6832
81,3,183984.6741
81,4,182519.5338
81,5,181550.5204
81,6,182105.354
81,7,182658.7285
81,8,183250.4425
81,9,183811.5005
81,10,184386.7375
82,2,187432.0025
82,3,184247.4951
82,4,182614.0319
82,5,181765.6861
82,6,182327.7513
82,7,182888.6824
82,8,183465.4277
82,9,184020.6738
82,10,184565.1259
83,2,185763.2886
83,3,182601.7307
83,4,180834.1836
83,5,180077.3361
83,6,180636.8262
83,7,181204.8354
83,8,181771.7752
83,9,182339.2221
83,10,182907.7736
84,2,191573.8071
84,3,188235.4921
84,4,186111.7148
84,5,185114.2588
84,6,185682.3602
84,7,186221.0782
84,8,186785.3286
84,9,187305.3175
84,10,187883.4847
85,2,191947.6069
85,3,188621.7622
85,4,186364.1065
85,5,185582.6246
85,6,186119.6083
85,7,186675.8374
85,8,187250.0096
85,9,187787.3562
85,10,188381.091
86,2,183915.3229
86,3,181067.0348
86,4,179202.6871
86,5,178199.76
86,6,178765.0856
86,7,179326.2501
86,8,179901.977
86,9,180485.093
86,10,181006.9238
87,2,188435.032
87,3,184897.1103
87,4,183452.0072
87,5,182084.3698
87,6,182634.5622
87,7,183196.4803
87,8,183753.9186
87,9,184336.8035
87,10,184888.2486
88,2,185584.2616
88,3,182706.0485
88,4,180921.8806
88,5,180281.0949
88,6,180834.3906
88,7,181362.2255
88,8,181934.5614
88,9,182481.6982
88,10,183084.6319
89,2,184299.5971
89,3,181222.7364
89,4,179539.0393
89,5,178607.4404
89,6,179156.0986
89,7,179719.6338
89,8,180262.9489
89,9,180843.8322
89,10,181500.0887
90,2,185899.1448
90,3,182758.6227
90,4,180736.0728
90,5,179784.4688
90,6,180345.1777
90,7,180891.7797
90,8,181463.7674
90,9,182026.6406
90,10,182583.8637
91,2,188206.5017
91,3,184893.3688
91,4,183120.653
91,5,182448.0586
91,6,183006.8867
91,7,183554.9259
91,8,184150.7139
91,9,184707.1481
91,10,185218.112
92,2,189520.1529
92,3,186346.5218
92,4,184304.7294
92,5,183450.3635
92,6,183989.8372
92,7,184534.341
92,8,185106.2919
92,9,185635.2804
92,10,186235.3435
93,2,186051.3063
93,3,183186.9703
93,4,181328.1866
93,5,180512.6031
93,6,181056.6826
93,7,181590.8466
93,8,182168.6564
93,9,182748.6019
93,10,183309.3849
94,2,180986.6607
94,3,178274.99
94,4,176626.709
94,5,175897.1787
94,6,176451.1093
94,7,177039.6674
94,8,177605.2111
94,9,178144.5149
94,10,178766.1924
95,2,189401.3942
95,3,186349.8663
95,4,184493.2505
95,5,183595.7755
95,6,184132.0277
95,7,184669.1686
95,8,185259.8436
95,9,185814.2929
95,10,186373.3978
96,2,189387.1937
96,3,185774.1276
96,4,184024.0374
96,5,183110.993
96,6,183656.2967
96,7,184230.1974
96,8,184772.3243
96,9,185335.9271
96,10,185900.0471
97,2,189757.3966
97,3,186670.7808
97,4,184602.1712
97,5,183512.6574
97,6,184072.8722
97,7,184638.7874
97,8,185191.1063
97,9,185800.6515
97,10,186314.3397
98,2,184814.7813
98,3,181926.6762
98,4,180152.7541
98,5,179404.6412
98,6,180277.3581
98,7,180596.4356
98,8,181172.9615
98,9,181627.9978
98,10,182289.9135
99,2,187456.4585
99,3,184302.7817
99,4,182607.2982
99,5,181766.1451
99,6,182324.4303
99,7,182895.807
99,8,183445.8333
99,9,184163.8747
99,10,184579.64
100,2,189701.7164
100,3,186403.5569
100,4,184638.6152
100,5,183776.0847
100,6,184340.8608
100,7,184916.3306
100,8,185485.3218
100,9,186054.0446
100,10,186582.6345
