"rep","k","BIC"
48,10,196334.5227
49,2,198185.7048
49,3,196440.3074
49,4,193234.436
49,5,192459.2004
49,6,191328.3775
49,7,191901.5876
49,8,192500.0321
49,9,193040.4139
49,10,193610.6535
50,2,200269.4226
50,3,199348.1635
50,4,196014.7164
50,5,195122.4736
50,6,193658.0281
50,7,194250.8971
50,8,194824.1874
50,9,195383.722
50,10,195945.0237
51,2,195878.6371
51,3,194952.4007
51,4,191725.9672
51,5,191112.4265
51,6,189681.0861
51,7,190245.5745
51,8,190814.3889
51,9,191389.9426
51,10,191948.5906
52,2,197024.7863
52,3,196169.3333
52,4,193395.2904
52,5,191857.9548
52,6,190577.328
52,7,191164.7235
52,8,191733.5689
52,9,192321.4294
52,10,192880.0898
53,2,198666.1142
53,3,197839.3995
53,4,194546.8327
53,5,193388.0496
53,6,191864.3314
53,7,192461.6466
53,8,193541.9952
53,9,193632.7186
53,10,194203.0238
54,2,197307.1896
54,3,196223.7624
54,4,193006.3734
54,5,192205.6064
54,6,190960.9182
54,7,191538.6012
54,8,192141.0168
54,9,192708.3449
54,10,193270.6016
55,2,196917.7826
55,3,196039.5364
55,4,192749.4235
55,5,191912.2902
55,6,190701.1037
55,7,191290.0945
55,8,191901.1332
55,9,192472.9015
55,10,193021.8116
56,2,199520.7712
56,3,198569.5052
56,4,195357.18
56,5,194469.549
56,6,193235.8529
56,7,193798.587
56,8,194364.4974
56,9,194928.5954
56,10,195491.5639
57,2,201092.5311
57,3,200767.5875
57,4,196646.7224
57,5,195711.3302
57,6,194280.5535
57,7,194859.9005
57,8,195473.1823
57,9,196035.8586
57,10,196575.8573
58,2,195444.2847
58,3,194433.6937
58,4,192198.5764
58,5,190652.1184
58,6,189194.2068
58,7,189785.6421
58,8,190341.4269
58,9,190895.7521
58,10,191481.0471
59,2,199033.5774
59,3,197435.135
59,4,194476.66
59,5,193427.0081
59,6,191901.8277
59,7,192497.4168
59,8,193076.7475
59,9,193664.3197
59,10,194196.5019
60,2,196346.0986
60,3,195344.1386
60,4,191863.0878
60,5,190842.0817
60,6,189282.8166
60,7,189866.4806
60,8,190425.9305
60,9,191013.2534
60,10,191554.5515
61,2,200081.3014
61,3,199113.7794
61,4,196170.8497
61,5,195431.7786
61,6,194049.7694
61,7,194628.7652
61,8,195211.3994
61,9,195762.5343
61,10,196309.8662
62,2,199873.1677
62,3,198884.1582
62,4,195822.2101
62,5,194894.1833
62,6,193625.0382
62,7,194206.2434
62,8,194775.2585
62,9,195332.8479
62,10,195891.2443
63,2,197240.6126
63,3,195639.2744
63,4,192535.8869
63,5,191472.0323
63,6,190109.7831
63,7,190690.7063
63,8,191280.9054
63,9,191853.8519
63,10,192426.1072
64,2,198034.6353
64,3,196987.0173
64,4,193858.9575
64,5,193075.142
64,6,191734.5362
64,7,192314.7652
64,8,192932.8431
64,9,193476.9761
64,10,194025.8417
65,2,201315.6439
65,3,200550.2059
65,4,197379.062
65,5,196522.629
65,6,195188.3953
65,7,195751.7801
65,8,196322.5784
65,9,196867.4372
65,10,197439.7491
66,2,205104.0657
66,3,202562.7747
66,4,198895.0585
66,5,197908.3852
66,6,196313.4986
66,7,196898.5118
66,8,197483.0842
66,9,198027.8584
66,10,198609.6088
67,2,199331.183
67,3,198409.9106
67,4,195376.024
67,5,194573.9958
67,6,193193.2917
67,7,193756.1097
67,8,194359.0543
67,9,194915.7345
67,10,195487.0567
68,2,198068.5692
68,3,197098.3073
68,4,193758.9221
68,5,192926.3459
68,6,191637.5314
68,7,192183.1969
68,8,192757.373
68,9,193320.2458
68,10,193883.6195
69,2,197821.9961
69,3,196782.854
69,4,193945.4921
69,5,192963.6275
69,6,191728.4671
69,7,192293.1441
69,8,192898.3956
69,9,193460.8167
69,10,194007.6522
70,2,197393.9658
70,3,196590.5458
70,4,193450.7128
70,5,192376.3363
70,6,190955.5136
70,7,191548.369
70,8,192112.0542
70,9,192667.031
70,10,193257.9012
71,2,194714.683
71,3,193799.2807
71,4,190845.817
71,5,189941.2034
71,6,188732.1522
71,7,189303.362
71,8,189900.0279
71,9,190459.9885
71,10,191034.2895
72,2,200673.2745
72,3,199553.7918
72,4,196133.3279
72,5,195229.2823
72,6,193960.7317
72,7,194543.2614
72,8,195123.3297
72,9,196179.3186
72,10,196232.7706
73,2,200872.038
73,3,199729.1239
73,4,196541.1465
73,5,195548.745
73,6,194142.2542
73,7,194718.1659
73,8,195294.6083
73,9,195843.2323
73,10,196400.7414
74,2,199448.4552
74,3,198526.8413
74,4,195232.4969
74,5,194385.503
74,6,193176.8978
74,7,193757.078
74,8,194356.3815
74,9,194920.0719
74,10,195465.3417
75,2,199088.8596
75,3,197139.4822
75,4,193939.8308
75,5,193146.5695
75,6,191408.394
75,7,191993.5455
75,8,192592.3745
75,9,193157.8041
75,10,193736.7714
76,2,202495.645
76,3,201504.802
76,4,197879.1434
76,5,196939.4605
76,6,195770.2295
76,7,196352.6552
76,8,196941.9329
76,9,197508.9983
76,10,198089.3972
77,2,194256.5442
77,3,193495.6564
77,4,190565.0787
77,5,189600.8147
77,6,188449.1805
77,7,189031.3108
77,8,189597.6792
77,9,190178.7079
77,10,190738.8445
78,2,200278.3903
78,3,198669.0163
78,4,195742.6406
78,5,194800.6131
78,6,193372.155
78,7,193955.5134
78,8,194542.8983
78,9,195112.4147
78,10,195671.0707
79,2,194705.5553
79,3,193753.1924
79,4,190674.9469
79,5,189767.5471
79,6,188642.1914
79,7,189222.7167
79,8,189804.2892
79,9,190369.4822
79,10,190927.6649
80,2,200518.9044
80,3,199547.2293
80,4,196515.2764
80,5,195545.8132
80,6,194298.4715
80,7,194876.1301
80,8,195464.8151
80,9,196024.7696
80,10,196610.8548
81,2,195856.7461
81,3,194948.3449
81,4,192054.3724
81,5,191290.0033
81,6,189899.2029
81,7,190473.7698
81,8,191056.5197
81,9,191646.2559
81,10,192198.2953
82,2,197193.0837
82,3,196419.9796
82,4,193564.149
82,5,192632.3363
82,6,191368.7894
82,7,191967.5991
82,8,192569.1124
82,9,193076.8191
82,10,193660.5261
83,2,194382.984
83,3,193389.253
83,4,190216.2296
83,5,189296.8643
83,6,187947.5086
83,7,188514.9306
83,8,189099.0424
83,9,189670.2934
83,10,190232.7945
84,2,206792.1751
84,3,204981.732
84,4,200905.5021
84,5,199769.1147
84,6,198273.3154
84,7,198857.6551
84,8,199428.9896
84,9,199946.3334
84,10,200497.2722
85,2,202031.3501
85,3,200918.3999
85,4,197720.6497
85,5,196709.2229
85,6,195367.2785
85,7,195946.152
85,8,196520.3349
85,9,197101.4503
85,10,197653.848
86,2,195583.8879
86,3,194712.0247
86,4,191437.4182
86,5,190532.4341
86,6,189181.9114
86,7,189753.8351
86,8,190346.626
86,9,190914.6763
86,10,191453.3936
87,2,196928.9274
87,3,196098.8886
87,4,192950.1997
87,5,192070.6371
87,6,190792.8399
87,7,191373.2189
87,8,191954.8839
87,9,192510.8635
87,10,193069.7043
88,2,199549.8789
88,3,199593.2357
88,4,195442.8251
88,5,194443.6795
88,6,193029.8639
88,7,193600.4342
88,8,194187.464
88,9,194742.3647
88,10,195318.3458
89,2,195253.5118
89,3,194451.3421
89,4,191590.0121
89,5,190510.7724
89,6,189318.9986
89,7,189899.8103
